protein name	proximity to Covid-19	shortest path to Covid-19	path length
THOC2	-0.01912622561452236	THOC2, AKAP9, covid-19	2
RAD50	-0.0638088970139613	RAD50, FGFR1OP, covid-19	2
SYMPK	0.06745472151807243	SYMPK, HDAC2, covid-19	2
CLTC	0.1150170465799847	CLTC, NDUFB9, covid-19	2
TRIM28	0.13194626656400443	TRIM28, DNMT1, covid-19	2
ARHGEF2	-0.11401972074446814	ARHGEF2, MARK3, covid-19	2
HNRNPR	-0.029687840871615363	HNRNPR, CEP250, covid-19	2
LIMCH1	0.035992813660814596	LIMCH1, RPA2, TLE1, covid-19	3
ALPP	-0.12008285569747204	ALPP, RPA2, TLE1, covid-19	3
CKAP5	-0.0032838643497717923	CKAP5, MARK3, covid-19	2
RPL6	-0.07938711211333548	RPL6, CSNK2A2, covid-19	2
SMC1A	0.10629237969291161	SMC1A, POLA1, covid-19	2
SMC2	0.057814512408922915	SMC2, ARF6, covid-19	2
CCAR2	-0.06641968108733534	CCAR2, LARP7, covid-19	2
LIMA1	-0.09266089801433058	LIMA1, AP2A2, covid-19	2
MYO1B	-0.006649723842139507	MYO1B, CSNK2A2, covid-19	2
WDR82	-0.0602254103983771	WDR82, PPIL3, covid-19	2
ADAR	-0.00521163723080284	ADAR, G3BP1, covid-19	2
HNRNPL	-0.10094781484917519	HNRNPL, NEK9, covid-19	2
ILF2	-0.0026650957254510943	ILF2, AAR2, covid-19	2
SPTBN1	0.15884721325187934	SPTBN1, PRKACA, covid-19	2
THOC6	0.041703503019832486	THOC6, HECTD1, covid-19	2
AHNAK	-0.04300532196423114	AHNAK, AAR2, covid-19	2
PRRC2A	-0.002876982620555038	PRRC2A, EXOSC2, covid-19	2
DHX9	0.09482488700451708	DHX9, AAR2, covid-19	2
NAPSA	0.004548680015373905	NAPSA, CSNK2A2, covid-19	2
RPRD1B	-0.03131608062837744	RPRD1B, GRPEL1, covid-19	2
SYNCRIP	-0.03781941527290121	SYNCRIP, AAR2, covid-19	2
DDX23	0.0164646490311263	DDX23, AAR2, covid-19	2
DNTTIP1	-0.13911438157728537	DNTTIP1, HDAC2, covid-19	2
SCAMP3	0.05750694707218547	SCAMP3, RPA2, TLE1, covid-19	3
U2SURP	-0.006165664439471329	U2SURP, HECTD1, covid-19	2
TSR1	-0.008928624930862383	TSR1, CYB5B, covid-19	2
WDR3	-0.11521786423866363	WDR3, EXOSC5, covid-19	2
ADD1	-0.005315775828107112	ADD1, PRKACA, covid-19	2
CAPRIN1	0.004356244270363942	CAPRIN1, AAR2, covid-19	2
CCNH	-0.10174158212066309	CCNH, HDAC2, covid-19	2
CPSF7	-0.010524009381223484	CPSF7, CSNK2A2, covid-19	2
EXOSC10	0.11078751896465588	EXOSC10, CHPF, covid-19	2
GTF2H3	-0.08425928807332878	GTF2H3, GTF2F2, covid-19	2
NBN	-0.0433718395146256	NBN, RPA2, TLE1, covid-19	3
PSIP1	0.023487832086465734	PSIP1, CSNK2A2, covid-19	2
RFC3	-0.05823774200367424	RFC3, POLA1, covid-19	2
RPL18A	-0.1128802191659797	RPL18A, AAR2, covid-19	2
SRBD1	-0.058781750193389236	SRBD1, RPA2, TLE1, covid-19	3
TAGLN2	-0.05189730346917876	TAGLN2, AAR2, covid-19	2
TMPO	0.010494696955885605	TMPO, CSNK2A2, covid-19	2
TPX2	0.0640338420330939	TPX2, GOLGA2, covid-19	2
AP1B1	0.06432825339828166	AP1B1, AP2A2, covid-19	2
BAG2	-0.09281491055012142	BAG2, AAR2, covid-19	2
BBX	-0.14889295513120457	BBX, RAB5C, covid-19	2
CALD1	0.1762583476554167	CALD1, CSNK2A2, covid-19	2
CDK7	-0.045714917538012205	CDK7, HDAC2, covid-19	2
COPA	-0.019905038262924876	COPA, AAR2, covid-19	2
DDX46	0.05482918077204661	DDX46, AAR2, covid-19	2
GTF3C2	0.12374405581894617	GTF3C2, RPA2, TLE1, covid-19	3
PKP3	0.10733331306368775	PKP3, CDK5RAP2, covid-19	2
POLR1B	-0.15927744824463985	POLR1B, RPA2, TLE1, covid-19	3
RALY	0.14632393877213273	RALY, CWC27, covid-19	2
SMC4	0.057045197519728294	SMC4, CEP250, covid-19	2
THOC7	0.026337148545915845	THOC7, MOV10, covid-19	2
TRIP12	-0.13933473389113257	TRIP12, MEPCE, covid-19	2
WDR33	0.006496125561593909	WDR33, ZC3H18, covid-19	2
ATP6V0D1	0.02077063969620053	ATP6V0D1, ATP6V1A, covid-19	2
C7orf50	-0.008823883262869703	C7orf50, LARP7, covid-19	2
CAV1	-0.005752465676570034	CAV1, CSNK2A2, covid-19	2
CLINT1	0.06567243326619102	CLINT1, AP2A2, covid-19	2
COBL	-0.021616727888834918	COBL, RPA2, TLE1, covid-19	3
CPSF1	0.016269003426692533	CPSF1, HMOX1, covid-19	2
CTTN	-0.08875364970248176	CTTN, IDE, covid-19	2
DIDO1	-0.09936147504969342	DIDO1, RPA2, TLE1, covid-19	3
DNAJC9	0.022348676583850688	DNAJC9, HYOU1, covid-19	2
EDC4	-0.043158307189475414	EDC4, G3BP1, covid-19	2
EIF2S2	-0.09038726703315181	EIF2S2, CSNK2A2, covid-19	2
ESYT1	0.049350300969681266	ESYT1, COMT, covid-19	2
HCFC1	-0.15602904652171531	HCFC1, HDAC2, covid-19	2
INTS1	-0.10378921269145748	INTS1, INTS4, covid-19	2
MORF4L2	-0.02163262734140979	MORF4L2, HDAC2, covid-19	2
PCF11	0.057682111651617685	PCF11, MOV10, covid-19	2
RPL15	-0.046233378631758276	RPL15, HDAC2, covid-19	2
RPS7P4	-0.0766557991176301	RPS7P4, RPA2, TLE1, covid-19	3
SMARCA5	-0.023612370561891666	SMARCA5, HDAC2, covid-19	2
THOC1	0.024901182271742373	THOC1, MOV10, covid-19	2
ZNF638	-0.02755145374305472	ZNF638, EIF4E2, covid-19	2
AP2A1	0.08962665966964113	AP2A1, AP2A2, covid-19	2
CHERP	-0.03282893375222583	CHERP, SNIP1, covid-19	2
EXOSC7	0.06300863525180199	EXOSC7, EXOSC2, covid-19	2
FBL	-0.10287961449490854	FBL, AATF, covid-19	2
GEMIN4	0.05451659136574229	GEMIN4, F2RL1, covid-19	2
HNRNPCL1	0.06075519951817129	HNRNPCL1, CEP135, covid-19	2
HNRNPF	-0.04433727658291227	HNRNPF, AAR2, covid-19	2
HNRNPH1	-0.08367610831060847	HNRNPH1, AAR2, covid-19	2
MED4	-0.1528914293117309	MED4, NEK9, covid-19	2
MYO1F	0.02226734872388976	MYO1F, INHBE, covid-19	2
NIPBL	0.08297474721484348	NIPBL, PPT1, covid-19	2
NUMA1	0.14466483169490235	NUMA1, BRD4, covid-19	2
PELP1	-0.06165954569714863	PELP1, HDAC2, covid-19	2
PPP1R12A	-0.11117884515702622	PPP1R12A, FKBP10, covid-19	2
PRPF19	-0.030314632093262447	PRPF19, CSNK2A2, covid-19	2
RAB6A	0.08593990001899189	RAB6A, ERC1, covid-19	2
RAD21	0.008741305310366598	RAD21, HDAC2, covid-19	2
RBM10	0.09035055888849484	RBM10, CSNK2A2, covid-19	2
RPL10L	0.03680425050931578	RPL10L, LARP7, covid-19	2
RPL13P12	-0.01040163623984805	RPL13P12, CEP250, covid-19	2
RPRD2	0.10101680032371538	RPRD2, CSNK2A2, covid-19	2
RPS3A	-0.07738465969759967	RPS3A, AAR2, covid-19	2
RUVBL2	0.039539677807831686	RUVBL2, HDAC2, covid-19	2
SEH1L	0.10405657844350459	SEH1L, NUP210, covid-19	2
SCAF4	-0.034728661896875054	SCAF4, RPA2, TLE1, covid-19	3
SMARCC2	-0.03676518968315452	SMARCC2, HDAC2, covid-19	2
TCERG1	0.0037721556083643894	TCERG1, BRD4, covid-19	2
TEX10	0.0008334183613246532	TEX10, MDN1, covid-19	2
WDHD1	-0.1283642957315213	WDHD1, POLA1, covid-19	2
ZCCHC8	0.20574646277193198	ZCCHC8, CWC27, covid-19	2
ZFR	-0.005612334325032832	ZFR, DNMT1, covid-19	2
ZNF598	-0.003914814891755186	ZNF598, HDAC2, covid-19	2
HUWE1	0.043756946122207215	HUWE1, HDAC2, covid-19	2
RPAIN	-0.07964587860368413	RPAIN, RPA2, TLE1, covid-19	3
XPC	-0.08297375845576664	XPC, CSNK2A2, covid-19	2
SUPT16H	-0.04839082317740151	SUPT16H, NEK9, covid-19	2
SSRP1	-0.13143472939981543	SSRP1, NEK9, covid-19	2
CETN2	0.06454835452038711	CETN2, PRKACA, covid-19	2
HMCES	-0.024737117233837508	HMCES, RPA2, TLE1, covid-19	3
HYPK	-0.08981277464527189	HYPK, RPA2, TLE1, covid-19	3
UBE2A	-0.10000181423105131	UBE2A, CSNK2A2, covid-19	2
TXNDC5	0.020176525644813502	TXNDC5, HDAC2, covid-19	2
CEP162	0.006161675209910671	CEP162, CEP135, covid-19	2
MAX	-0.06704675014848771	MAX, HDAC2, covid-19	2
RBPJ	-0.008841047517153571	RBPJ, HDAC2, covid-19	2
FOXA1	-0.005307625266510827	FOXA1, PLOD2, covid-19	2
FOXA3	0.4243303308223859	FOXA3, HDAC2, covid-19	2
FOXB1	0.1457779244500732	FOXB1, TLE1, covid-19	2
FOXJ3	-0.05854334600999837	FOXJ3, RPA2, TLE1, covid-19	3
FOXN1	-0.05561738860009989	FOXN1, RPA2, TLE1, covid-19	3
FOXP1	0.2741716787669488	FOXP1, RPA2, TLE1, covid-19	3
NF2	-0.019550455343343993	NF2, PRKACA, covid-19	2
USP37	-0.1441694265798881	USP37, HDAC2, covid-19	2
NFATC2	0.1457019694824928	NFATC2, DCAF7, covid-19	2
EYA1	-0.06871012182316188	EYA1, GRPEL1, covid-19	2
EYA4	0.0281547384150228	EYA4, DCTPP1, covid-19	2
POLL	-0.05025117124064875	POLL, RPA2, TLE1, covid-19	3
ERCC1	-0.03524993432871937	ERCC1, RPA2, TLE1, covid-19	3
STYX	-0.08040165036475123	STYX, FBXL12, covid-19	2
VCP	-0.13953813020203862	VCP, COMT, covid-19	2
HNF1B	-0.040353289742870654	HNF1B, RPA2, TLE1, covid-19	3
YWHAE	0.020993432374606137	YWHAE, MARK3, covid-19	2
NDEL1	0.010684801077309788	NDEL1, AKAP9, covid-19	2
DMRTB1	-0.05135090927122091	DMRTB1, EXOSC5, covid-19	2
PRC1	0.0990364608769605	PRC1, AKAP9, covid-19	2
PCM1	-0.004242378039215441	PCM1, AKAP9, covid-19	2
UBE2M	-0.059666992146149116	UBE2M, HDAC2, covid-19	2
NKX2-1	0.08705827818286743	NKX2-1, IMPDH2, covid-19	2
HERC2	-0.09710168014749722	HERC2, RIPK1, covid-19	2
DPF2	-0.01864285940276894	DPF2, HDAC2, covid-19	2
MCM6	0.05545552917679401	MCM6, RPA2, TLE1, covid-19	3
MCM7	0.016392114487374126	MCM7, CEP250, covid-19	2
CDC45	-0.006630272143361163	CDC45, POLA1, covid-19	2
TIPIN	-0.04877646999693977	TIPIN, RPA2, TLE1, covid-19	3
CLSPN	-0.10257989208279711	CLSPN, CEP250, covid-19	2
RAD17	-0.03573117497625483	RAD17, RPA2, TLE1, covid-19	3
MCMBP	-0.03507613710098318	MCMBP, ATP6V1A, covid-19	2
WDR76	-0.1505494290573993	WDR76, AP3B1, covid-19	2
RAB11A	0.030518285311099444	RAB11A, AAR2, covid-19	2
TGOLN2	0.026182721825692146	TGOLN2, ATP6V1A, covid-19	2
AIFM1	-0.024604192303398758	AIFM1, AAR2, covid-19	2
CAT	-0.11984679702875481	CAT, GPX1, covid-19	2
ATG16L1	0.059750699690191866	ATG16L1, HDAC2, covid-19	2
BRCA2	-0.02326564173459217	BRCA2, HDAC2, covid-19	2
PALB2	-0.042602318602730053	PALB2, MOV10, covid-19	2
ETAA1	-0.04226452769618856	ETAA1, RPA2, TLE1, covid-19	3
RNASEH2A	0.012410639363489621	RNASEH2A, MOV10, covid-19	2
PPP4C	-0.021131171870841625	PPP4C, RPA2, TLE1, covid-19	3
PPP4R2	-0.03054652389995613	PPP4R2, RPA2, TLE1, covid-19	3
ERCC4	-0.10908039323551384	ERCC4, CUL2, covid-19	2
CCNO	0.0235997901131892	CCNO, RPA2, TLE1, covid-19	3
CCNB1	-0.037426584710646665	CCNB1, POLA1, covid-19	2
RFC1	0.05152651562777719	RFC1, POLA1, covid-19	2
FANCG	0.08686134398102377	FANCG, GOLGA2, covid-19	2
ATR	-0.1421451177055154	ATR, HDAC2, covid-19	2
FANCA	-0.04322158360016841	FANCA, RPA2, TLE1, covid-19	3
EEF1A1P5	0.11458915670670405	EEF1A1P5, AAR2, covid-19	2
FANCC	-0.110873887490166	FANCC, POR, covid-19	2
RAD1	-0.08617276317064879	RAD1, RPA2, TLE1, covid-19	3
ORC1	-0.004102014337636392	ORC1, GOLGA2, covid-19	2
FANCF	-0.07528900031065203	FANCF, MARK3, covid-19	2
FANCE	-0.07651265301889186	FANCE, RPA2, TLE1, covid-19	3
CEP126	0.06010974145625689	CEP126, GOLGB1, covid-19	2
RIF1	0.007387411998513477	RIF1, ATP1B1, covid-19	2
TRIP10	-0.10207127532818124	TRIP10, PRKACA, covid-19	2
MYOD1	-0.0396734856615154	MYOD1, STAT3, DNMT1, covid-19	3
PTPN11	0.02367667190845138	PTPN11, GOLGA2, covid-19	2
IL1RAP	0.03584630258820159	IL1RAP, STAT3, DNMT1, covid-19	3
PIAS3	0.06312823562598957	PIAS3, SNIP1, covid-19	2
PTPN2	0.03858061516179241	PTPN2, G3BP1, covid-19	2
ELP2	-0.1337535456379072	ELP2, MOV10, covid-19	2
HNF1A	0.07377216026673035	HNF1A, TLE1, covid-19	2
IL6ST	-0.07724362349606576	IL6ST, TLE1, covid-19	2
NMI	0.050013088847437506	NMI, EXOSC5, covid-19	2
CCR5	-0.0651385000810813	CCR5, STAT3, DNMT1, covid-19	3
CTR9	-0.006536189746356738	CTR9, CSNK2A2, covid-19	2
HOXC11	0.3535735014949505	HOXC11, STAT3, DNMT1, covid-19	3
STAT6	-0.034133694387548444	STAT6, STAT3, DNMT1, covid-19	3
SS18L1	-0.042692957607713425	SS18L1, HDAC2, covid-19	2
BCL3	0.08026005728273033	BCL3, STAT3, DNMT1, covid-19	3
NFKBIZ	-0.014917828775729933	NFKBIZ, STAT3, DNMT1, covid-19	3
CEBPB	0.027835196472393173	CEBPB, PRKACA, covid-19	2
CDK9	0.007457658321770769	CDK9, CSNK2A2, covid-19	2
PPP2R1B	-0.04424697383494193	PPP2R1B, POLA1, covid-19	2
TIRAP	0.016692838482985313	TIRAP, STAT3, DNMT1, covid-19	3
SETD7	-0.03731384491244584	SETD7, DNMT1, covid-19	2
BHLHE40	-0.1259473530492386	BHLHE40, HDAC2, covid-19	2
SOCS7	0.019697151533107814	SOCS7, STAT3, DNMT1, covid-19	3
FHL2	-0.09455454388581314	FHL2, ERP44, covid-19	2
TRAF6	0.2213758802652631	TRAF6, TBK1, covid-19	2
ZFHX3	-0.08079714543165405	ZFHX3, NINL, covid-19	2
HES1	-0.011476888221581454	HES1, TLE1, covid-19	2
HES5	-0.034263399334451355	HES5, STAT3, DNMT1, covid-19	3
BICD1	0.02891886367844615	BICD1, NIN, covid-19	2
ECH1	0.005018807688956212	ECH1, ACAD9, covid-19	2
SRI	0.019529444526019624	SRI, G3BP1, covid-19	2
MRPS31	-0.013447803831772038	MRPS31, LARP7, covid-19	2
CORO1A	0.13045885225265508	CORO1A, GOLGA2, covid-19	2
GNL3	-0.10913783235719922	GNL3, DDX21, covid-19	2
OGDHL	-0.10282917096915717	OGDHL, CSNK2A2, covid-19	2
MORC4	0.0061262680436702105	MORC4, MOV10, covid-19	2
HIVEP1	0.08970603067369357	HIVEP1, RAB1A, covid-19	2
ASXL1	-0.19163369026336602	ASXL1, PSMD8, covid-19	2
NIF3L1	-0.09297751399470272	NIF3L1, DCTPP1, covid-19	2
SUPT20H	-0.0440124072233577	SUPT20H, STAT3, DNMT1, covid-19	3
HLA-A	0.30352829817397253	HLA-A, PRKACA, covid-19	2
AMBP	0.13349104359096836	AMBP, STAT3, DNMT1, covid-19	3
CAPNS1	-0.04948747507272345	CAPNS1, AAR2, covid-19	2
LAMB2	-0.1003649000139322	LAMB2, OS9, covid-19	2
SCAF11	0.06793778006719181	SCAF11, TUBGCP2, covid-19	2
SPRY1	-0.015184472208610324	SPRY1, STAT3, DNMT1, covid-19	3
ZFPM2	0.11029232326590177	ZFPM2, HDAC2, covid-19	2
ARFIP2	-0.15820063107967156	ARFIP2, ARF6, covid-19	2
SRRT	-0.041443185628534676	SRRT, CSNK2A2, covid-19	2
IL22RA1	0.03327992595026087	IL22RA1, STAT3, DNMT1, covid-19	3
CEP120	0.02470654116995491	CEP120, CEP135, covid-19	2
LUC7L2	-0.04602695274953259	LUC7L2, CSNK2A2, covid-19	2
PSMG3	-0.12785344508852323	PSMG3, STAT3, DNMT1, covid-19	3
ARFIP1	0.22188225477743345	ARFIP1, IDE, covid-19	2
IVNS1ABP	-0.0570273415700617	IVNS1ABP, DDX21, covid-19	2
PUS7	-0.04342181556932924	PUS7, IDE, covid-19	2
TBC1D15	0.02305244512987123	TBC1D15, IDE, covid-19	2
TBCD	-0.031799647325342184	TBCD, IL17RA, covid-19	2
COPS5	-0.07963597665960673	COPS5, CSNK2A2, covid-19	2
HIC1	-0.17473823271917593	HIC1, DNMT1, covid-19	2
USP22	0.03607785723212869	USP22, MOV10, covid-19	2
GNB2	0.0032812264592577012	GNB2, G3BP1, covid-19	2
GADD45A	0.006486134328978405	GADD45A, DNMT1, covid-19	2
NXF1	0.025333168173958115	NXF1, POLA1, covid-19	2
AZU1	0.1952391040684649	AZU1, ZYG11B, covid-19	2
NXPH2	-0.028834967265497582	NXPH2, STAT3, DNMT1, covid-19	3
DDX19B	0.08296911573898166	DDX19B, HMOX1, covid-19	2
STK19B	-0.08143463896363362	STK19B, STAT3, DNMT1, covid-19	3
TCEAL1	-0.044153795268137355	TCEAL1, CUL2, covid-19	2
BRWD1	-0.08495822743109097	BRWD1, RDX, covid-19	2
CCDC87	0.033350154612621266	CCDC87, CEP250, covid-19	2
DOK2	-0.03585870549324445	DOK2, RAB10, covid-19	2
DOK3	-0.05578898146691341	DOK3, STAT3, DNMT1, covid-19	3
GSTCD	0.08493233078944598	GSTCD, STAT3, DNMT1, covid-19	3
HESX1	0.14305329022908095	HESX1, HDAC2, covid-19	2
KRTAP10-7	0.030800841997835074	KRTAP10-7, HSBP1, covid-19	2
MAPKAPK2	-0.0290929104816834	MAPKAPK2, CSNK2B, covid-19	2
MPZL1	0.1301803956235172	MPZL1, POLA2, covid-19	2
NUFIP2	0.07545813807206253	NUFIP2, G3BP1, covid-19	2
PAQR7	-0.07084995973961486	PAQR7, STAT3, DNMT1, covid-19	3
RABGAP1	0.0019258445879518186	RABGAP1, ARF6, covid-19	2
SH2D2A	-0.03255841579241248	SH2D2A, STAT3, DNMT1, covid-19	3
TM4SF19	0.024110685799968147	TM4SF19, STAT3, DNMT1, covid-19	3
TWIST1	0.07300237061643752	TWIST1, HDAC2, covid-19	2
WDFY3	0.005522608397541713	WDFY3, MOV10, covid-19	2
ZNF281	0.043736262070525764	ZNF281, SLC25A21, covid-19	2
ZNF829	0.0032549221745358722	ZNF829, STAT3, DNMT1, covid-19	3
CBL	-0.00158813057809358	CBL, RIPK1, covid-19	2
DTNA	0.017935528905097045	DTNA, MARK2, covid-19	2
LASP1	-0.02697969840162743	LASP1, PRKACA, covid-19	2
SH3BP2	0.0283157149604342	SH3BP2, STAT3, DNMT1, covid-19	3
BATF3	-0.11588372210705622	BATF3, STAT3, DNMT1, covid-19	3
CNDP2	0.04374741568808244	CNDP2, MOV10, covid-19	2
KLF15	-0.04097498890042123	KLF15, STAT3, DNMT1, covid-19	3
NACAD	-0.07981535085363684	NACAD, STAT3, DNMT1, covid-19	3
NXT2	0.013214077669219731	NXT2, GOLGA2, covid-19	2
PINK1	-0.016878266880906885	PINK1, MARK2, covid-19	2
ZNF557	-0.05912168084794878	ZNF557, STAT3, DNMT1, covid-19	3
MNDA	0.20398729161194246	MNDA, STAT3, DNMT1, covid-19	3
PAFAH1B2	0.0269043726886631	PAFAH1B2, IDE, covid-19	2
ANKRD26P1	-0.03589726233911698	ANKRD26P1, STAT3, DNMT1, covid-19	3
KIF27	-0.1448682570650035	KIF27, STAT3, DNMT1, covid-19	3
LRRFIP2	-0.01495078516518726	LRRFIP2, STAT3, DNMT1, covid-19	3
RRAD	-0.05498728300192881	RRAD, CSNK2A2, covid-19	2
STMN1	0.034859362216708684	STMN1, PRKACA, covid-19	2
MAGEC2	-0.0721514605211073	MAGEC2, AP2M1, covid-19	2
RELB	0.27013107625963434	RELB, DNMT1, covid-19	2
LRRC32	-0.01843896787315828	LRRC32, STAT3, DNMT1, covid-19	3
IL20RA	-0.05375011915456335	IL20RA, STAT3, DNMT1, covid-19	3
TBC1D22B	-0.07079346096856408	TBC1D22B, HMOX1, covid-19	2
MBLAC2	-0.10120855285286985	MBLAC2, BCS1L, covid-19	2
VASN	-0.05300812772233986	VASN, PLOD2, covid-19	2
C3AR1	-0.05348138064914053	C3AR1, ACAD9, covid-19	2
DLK2	0.02779560476679175	DLK2, ALG5, covid-19	2
PGK1	-0.008350946207926632	PGK1, AAR2, covid-19	2
PIH1D1	-0.03801922833333008	PIH1D1, CSNK2A2, covid-19	2
TRIM11	0.10852294120173855	TRIM11, MARK1, covid-19	2
MMP1	-0.20703713916017077	MMP1, STAT3, DNMT1, covid-19	3
GOLPH3	-0.08559887817137299	GOLPH3, STAT3, DNMT1, covid-19	3
OCIAD1	-0.017923589799767197	OCIAD1, CYB5R3, covid-19	2
OCIAD2	-0.0477575872690085	OCIAD2, STAT3, DNMT1, covid-19	3
KRT17	-0.08391003865986993	KRT17, AP2M1, covid-19	2
USP28	-0.16063996419527618	USP28, CIT, covid-19	2
PTPRT	0.004473120004364334	PTPRT, STAT3, DNMT1, covid-19	3
CCT3	-0.06686730321595713	CCT3, TBK1, covid-19	2
PRDX2	-0.0942869180758323	PRDX2, ATP6V1A, covid-19	2
TXN	-0.12503496145045723	TXN, GPX1, covid-19	2
RACK1	-0.10718456269996182	RACK1, GNB1, covid-19	2
LEP	0.2189017110402598	LEP, STAT3, DNMT1, covid-19	3
VIP	-0.037361734821936776	VIP, STAT3, DNMT1, covid-19	3
CCP110	-0.01459437671495152	CCP110, CEP135, covid-19	2
NLK	-0.040728190467842665	NLK, TLE3, covid-19	2
RBM8A	0.06509181792684954	RBM8A, CWC27, covid-19	2
CITED1	0.0033852042636550866	CITED1, STAT3, DNMT1, covid-19	3
HAX1	0.01939471894682221	HAX1, AAR2, covid-19	2
ZNF467	0.13118267518085353	ZNF467, STAT3, DNMT1, covid-19	3
IL7R	0.1895863795825206	IL7R, DDX21, covid-19	2
CITED4	-0.0029144778355837397	CITED4, STAT3, DNMT1, covid-19	3
GADD45GIP1	0.09968208141103244	GADD45GIP1, CSNK2B, covid-19	2
HSP90AA2P	-0.0997937915223392	HSP90AA2P, CSNK2A2, covid-19	2
CITED2	-0.09050379173298509	CITED2, STAT3, DNMT1, covid-19	3
IRF1	0.2810744838454188	IRF1, STAT3, DNMT1, covid-19	3
KPNA6	0.04969534792044825	KPNA6, G3BP1, covid-19	2
KPNA1	0.09529834456939473	KPNA1, HDAC2, covid-19	2
RPS6KA5	-0.013640419831898107	RPS6KA5, ALG8, covid-19	2
IL23R	0.26171525671399076	IL23R, STAT3, DNMT1, covid-19	3
IL10	0.05074025714275962	IL10, STAT3, DNMT1, covid-19	3
SOX1	-0.12976596278640357	SOX1, STAT3, DNMT1, covid-19	3
STAT5A	-0.05251958471532919	STAT5A, CSNK2B, covid-19	2
TRH	0.13032390511704284	TRH, STAT3, DNMT1, covid-19	3
SEC31A	0.006346332437438557	SEC31A, CYB5B, covid-19	2
STAP2	-0.0764490488873949	STAP2, STAT3, DNMT1, covid-19	3
CCR1	-0.04859543957021289	CCR1, STAT3, DNMT1, covid-19	3
PTMA	0.10214033434317556	PTMA, HDAC2, covid-19	2
CRYAB	0.0026172430669939156	CRYAB, G3BP1, covid-19	2
SUMO4	-0.013014635656062052	SUMO4, IMPDH2, covid-19	2
ZNF148	0.024790915327512382	ZNF148, STAT3, DNMT1, covid-19	3
GGA3	-0.06944261650144604	GGA3, ARF6, covid-19	2
GGA1	-0.01523586262806069	GGA1, CSNK2A2, covid-19	2
NOA1	-0.013080310028334298	NOA1, DCTPP1, covid-19	2
WBP11	0.06530298143170017	WBP11, GIGYF2, covid-19	2
COPB1	-0.07331183674305451	COPB1, EDEM3, covid-19	2
COPG1	-0.06911331133261375	COPG1, TLE3, covid-19	2
AP1G1	0.2221030089122185	AP1G1, AP2M1, covid-19	2
AP3S2	0.024499365692160796	AP3S2, AP3B1, covid-19	2
COPE	-0.1798394350142471	COPE, SUN2, covid-19	2
CYTH2	-0.11684093297579007	CYTH2, ARF6, covid-19	2
AP4M1	-0.04116636302445363	AP4M1, IMPDH2, covid-19	2
AP4E1	0.04681641305187517	AP4E1, ARF1, MOGS, covid-19	3
KDELR1	-0.05462263375640939	KDELR1, PRKACA, covid-19	2
HERC1	0.061901381820602105	HERC1, GRIPAP1, covid-19	2
GRK5	0.0011186500358957331	GRK5, AP2A2, covid-19	2
ARF3	-0.06253975502005205	ARF3, ARF1, MOGS, covid-19	3
MMS19	-0.04415912099852812	MMS19, POLA1, covid-19	2
TMEM106A	0.034729283766188744	TMEM106A, ARF1, MOGS, covid-19	3
FBXO6	-0.022027366313253076	FBXO6, COMT, covid-19	2
GGA2	-0.04161671514558866	GGA2, GOLGA2, covid-19	2
CUL7	0.10537688374489662	CUL7, HDAC2, covid-19	2
UNK	-0.16503457053206955	UNK, HDAC2, covid-19	2
AHSA1	0.0014167352097295763	AHSA1, IMPDH2, covid-19	2
RAB5B	0.25226558863355497	RAB5B, CNTRL, covid-19	2
ARF4	-0.0274846614840195	ARF4, AAR2, covid-19	2
ARF5	-0.04052568488357028	ARF5, ACADM, covid-19	2
ARFGAP2	0.10357625038017568	ARFGAP2, ARF1, MOGS, covid-19	3
ARFGAP3	-0.01412111847489439	ARFGAP3, ARF1, MOGS, covid-19	3
CCT6A	-0.0032981568099632857	CCT6A, TBK1, covid-19	2
EIF2B1	-0.08119958057900173	EIF2B1, AP2A2, covid-19	2
GALE	-0.02368955848988078	GALE, ACADM, covid-19	2
GLRX5	-0.017002344246668463	GLRX5, CISD3, covid-19	2
RAB1B	0.0964409427152666	RAB1B, ATP1B1, covid-19	2
RAB5A	0.08873889547106396	RAB5A, ATE1, covid-19	2
SAR1A	0.0048401745535928305	SAR1A, MOV10, covid-19	2
PLEKHA8	0.06827393792340834	PLEKHA8, ARF1, MOGS, covid-19	3
AGAP1	-0.07196703451311129	AGAP1, ARF6, covid-19	2
AGAP2	-0.05898272854687502	AGAP2, RHOA, covid-19	2
WWP2	0.017452486056215244	WWP2, CSDE1, covid-19	2
PTPN18	0.12804131112603723	PTPN18, CSNK2A2, covid-19	2
COQ2	0.0029487286184493935	COQ2, DPY19L1, covid-19	2
COX15	0.07911271082744264	COX15, CLCC1, covid-19	2
DNM1L	0.04662178968668041	DNM1L, PRKACA, covid-19	2
VDAC1	-0.0028220703913511558	VDAC1, IMPDH2, covid-19	2
ASAP1	-0.027409119806960276	ASAP1, ARF6, covid-19	2
PXN	-0.03304151524825882	PXN, EXOSC8, covid-19	2
WWOX	-0.12166873542674594	WWOX, CSNK2A2, covid-19	2
GORAB	-0.0900104354254585	GORAB, ARF1, MOGS, covid-19	3
SCYL1	-0.05526563483566871	SCYL1, POLA2, covid-19	2
FBXW8	-0.003896836768493006	FBXW8, CUL2, covid-19	2
PLIN2	-0.14671277494731028	PLIN2, ARF1, MOGS, covid-19	3
ASAP2	0.07137861543013127	ASAP2, ARF6, covid-19	2
